,Course ID,Course Title,Course Description,University,Location,Course Title Stripped,Minor Cluster,Minor Cluster Name,Major Cluster,Major Cluster Name,Course Description Stripped
319,ECON-547,Economics of Antitrust and Regulation,"Economic analysis of government policies affecting business behavior, with focus on the U.S. economy. In addition to antitrust (or competition) policy and traditional public utility regulation, price and entry regulation in transportation and service sectors, and social (health, safety, and environmental) regulations are also evaluated. Usually Offered: summer. Prerequisite:",American,"Washington, DC","economics, antitrust, regulation",1,Business,1,Topics,"analysis, government, policy, business, behavior, focus, economy, addition, competition, policy, utility, regulation, price, entry, regulation, transportation, service, sector, health, safety, regulation, summer, prerequisite"
320,ECON-633,Financial Economics,"Institutional and theoretical aspects of creating, holding, and exchanging financial assets-money, credit instruments, and equities. The liabilities created by financial intermediaries and the role of government in financial markets. Usually Offered: spring. Prerequisite:",American,"Washington, DC","financial, economics",1,Business,1,Topics,"aspect, assets-money, credit, instrument, equity, liability, intermediary, role, government, market, spring, prerequisite"
321,ECON-639,Policy Issues in Financial Economics,"Applications of the tools of finance to examining financial crises, financial regulations involving banks and other institutions, and policies such as housing finance, government loan guarantees, pensions, and consumer finance. Students make oral presentations and hear guest lectures by policymakers dealing with financial economic issues. Usually Offered: spring. Prerequisite:",American,"Washington, DC","policy, issue, financial, economics",1,Business,1,Topics,"application, tool, finance, crisis, regulation, bank, institution, policy, housing, finance, government, loan, guarantee, pension, consumer, finance, student, presentation, guest, lecture, policymakers, issue, spring, prerequisite"
322,ECON-642,Public Economics,Rationale for the existence of the public sector. Theory of public goods and taxation. Prerequisite:,American,"Washington, DC","public, economics",1,Business,1,Topics,"rationale, existence, sector, theory, good, taxation, prerequisite"
323,ECON-646,Industrial Economics,"The structure of industrial markets and the behavior of business firms. Theoretical and empirical appraisal of welfare implications of alternative market structures and business behavior, both in the United States and abroad. Impacts of international influences on behavior of domestic firms. Usually Offered: alternate springs (even years). Prerequisite:",American,"Washington, DC","industrial, economics",1,Business,1,Topics,"structure, market, behavior, business, firm, appraisal, implication, market, structure, business, behavior, state, impact, influence, behavior, firm, spring, year, prerequisite"
324,ECON-671,International Economics: Trade,"Classical, neoclassical, and contemporary theories of the pattern of trade and the gains from trade. Analysis of the welfare and redistributive effects of trade policies. Modern theories of trade with increasing returns and imperfect competition. Usually Offered: alternate falls (odd years). Prerequisite:",American,"Washington, DC","international, economics, trade",1,Business,1,Topics,"theory, pattern, trade, gain, trade, analysis, welfare, effect, trade, policy, theory, trade, return, competition, alternate, fall, year, prerequisite"
325,ECON-673,Labor Economics,"Fundamentals of labor economics. Includes derivation of labor supply and demand, and theories of wage determination, among other topics. Usually Offered: alternate falls (odd years). Prerequisite:",American,"Washington, DC","labor, economics",1,Business,1,Topics,"fundamental, labor, economics, derivation, labor, supply, demand, theory, wage, determination, topic, alternate, fall, year, prerequisite"
326,ECON-676,Labor Economics II,"Advanced topics in labor economics, with emphasis on empirical methods for doctoral dissertation research. Usually Offered: alternate springs (even years). Prerequisite:",American,"Washington, DC","labor, economics",1,Business,1,Topics,"topic, labor, economics, emphasis, method, dissertation, research, spring, year, prerequisite"
327,STAT 377,Statistical Models for Financial Economics,"Valuation of derivative securities, stock price simulation, risk management techniques, interest rate models. Prepares for SOA exam MFE",Brigham Young ,"Provo, Utah","statistical, model, financial, economics",1,Business,1,Topics,"valuation, security, stock, price, simulation, risk, management, technique, interest, rate, model, prepares, soa, exam, mfe"
328,ECON 620,Game Theory with Applications of Economics and other Social Sciences,"Game theory is a way of thinking about strategic situations. On one hand its content is normative: it provides guidelines for decision makers to predict others’ actions and to recognize good and bad strategies. On the other hand its content is positive: it helps the social scientist to understand the nature of social interaction in various applications, in economics, political science, sociology and anthropology. We will learn new concepts, methods and terminology. Course will emphasize examples and applications. We will also play some games in class.",Duke,"Durham, North Carolina","game, theory, application, economics, other, social, science",1,Business,1,Topics,"game, theory, way, situation, hand, content, guideline, decision, maker, others, action, strategy, hand, content, scientist, nature, interaction, application, economics, science, sociology, anthropology, concept, method, terminology, course, example, application, game, class"
329,PJMS 361S,"Algorithms, Journalism and the Public Interes","Explores the expanding and evolving role of algorithms in the production, dissemination, and consumption of news. Course considers the political, economic, cultural, legal, public policy, and ethical implications of algorithmically-driven journalism and news consumption. Places algorithmically-driven journalism and news consumption in historical and technological context.",Duke,"Durham, North Carolina","algorithm, journalism, public, interes",1,Business,1,Topics,"role, algorithm, production, dissemination, consumption, news, course, policy, implication, journalism, news, consumption, place, journalism, news, consumption, context"
330,SCI 522,Public Engagement for Scientists,"This course presents strategies for scientists to use when engaging a variety of audiences with scientific information. Students will learn to communicate their knowledge through correspondence, formal reports, and presentations. Students will practice document preparation using report appropriate formatting, style, and graphics. Written assignments, discussion questions, and communication exercises will provide students with a better understanding of the relationship between scientists and their audiences whether in the workplace, laboratory, etc.",Illinois Institute of Tech,"Chicago, Illinois ","public, engagement, scientist",1,Business,1,Topics,"course, strategy, scientist, variety, audience, information, student, knowledge, correspondence, report, presentation, student, practice, document, preparation, report, formatting, style, graphic, assignment, discussion, question, communication, exercise, student, understanding, relationship, scientist, audience, workplace, laboratory"
331,ECON-600,Microeconomics,"Theory of resource allocation and price system; theory of demand, production, and distribution; and market structure and performance. Usually Offered: fall, spring, and summer. Prerequisite:",American,"Washington, DC",microeconomics,1,Business,1,Topics,"theory, resource, allocation, price, system, theory, demand, production, distribution, market, structure, performance, fall, spring, summer, prerequisite"
332,ECON-662,Development Microeconomics,"Examines the meaning and measures of economic development. Explores theoretical and empirical work of development issues at micro and meso levels. These include poverty traps, coordination failures, credit and labor market imperfections, microcredit and cooperatives, health, human capital accumulation, gender, population, property rights, and transaction costs, and the economics of the household. Usually Offered: fall. Prerequisite:",American,"Washington, DC","development, microeconomics",1,Business,1,Topics,"examines, meaning, measure, development, explores, work, development, issue, micro, meso, level, poverty, trap, coordination, failure, credit, labor, market, imperfection, microcredit, cooperative, health, capital, accumulation, gender, population, property, right, transaction, cost, economics, household, fall, prerequisite"
333,ECON-674,Gender Perspectives on Economic Analysis: Microeconomics,"This course explores the gender dimensions of economic life drawn from a rich body of studies and research on gender-aware analyses in microeconomics, labor, poverty, and social policy. Using analytical models, empirical studies, case histories and ethnographic research, it examines varied theories of the household and household bargaining; reproductive economy, care work and unpaid work; labor markets; assets and income distribution; gender, inequality, and poverty; and related social policy issues. Usually Offered: alternate falls (even years). Prerequisite:",American,"Washington, DC","gender, perspective, economic, microeconomics",1,Business,1,Topics,"course, gender, dimension, life, drawn, body, study, research, analysis, microeconomics, labor, poverty, policy, model, study, case, history, research, theory, household, household, bargaining, economy, care, work, work, labor, market, asset, income, distribution, gender, inequality, poverty, policy, issue, alternate, fall, year, prerequisite"
334,POLS 7200,Perspectives on Social Science Inquiry,"Explores the philosophy of science and the scientific method as applied to the social sciences and political analysis. Considers individualist perspectives (that is, rational choice), group perspectives (pluralism), structural/institutional perspectives (class analysis), and postmodern critiques.",Northeastern,"Boston, Massachusetts","perspective, social, inquiry",1,Business,1,Topics,"philosophy, science, method, science, analysis, considers, perspective, choice, group, perspective, pluralism, perspective, class, analysis, critique"
335,EE 140,"Stochasic Processes, Detection, and Estimation","Random vectors including second order characterization; Detection including binary, M-ary, Neyman-Pearson methods; Estimation including Bayes least squares, maximum a posteriori, and maximum likelihood methods; Random processes including notions of stationarity, wide sense stationarity, and independent increments; Bernoulli process, Poisson process, Markov processes including Markov chains, Weiner processes; Wide sense stationary processes and linear systems including power spectral density, spectral factorization, noncausal and causal Weiner filters; Mean square stochastic calculus including Karhunen-Loeve decompositions.",Tufts,"Medford, Massachusetts","stochasic, process, detection, estimation",11,,,,"vector, order, characterization, detection, method, estimation, bayes, square, posteriori, likelihood, method, process, notion, stationarity, sense, stationarity, increment, bernoulli, process, poisson, process, markov, process, markov, chain, weiner, process, sense, process, system, power, density, factorization, noncausal, causal, weiner, filter, calculus, decomposition"
336,ECE 275A,Parameter Estimation,"Linear least Squares (batch, recursive, total, sparse, pseudoinverse, QR, SVD); Statistical figures of merit (bias, consistency, Cramer-Rao lower-bound, efficiency); Maximum likelihood estimation (MLE); Sufficient statistics; Algorithms for computing the MLE including the Expectation Maximation (EM) algorithm. The problem of missing information; the problem of outliers.",UCSD,"San Diego, California","parameter, estimation",11,,,,"square, batch, recursive, sparse, pseudoinverse, qr, svd, figure, merit, bias, consistency, lower-bound, efficiency, likelihood, estimation, mle, statistic, algorithm, mle, expectation, maximation, em, algorithm, problem, information, problem, outlier"
337,EE 8581,Detection and Estimation Theory,"Risk theory approach to detection and estimation, random process representation, signal parameter estimation. Waveform estimation; detection of phase, frequency, and delay in signals. Applications to communications and radar-sonar signal design and processing.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","detection, estimation, theory",11,,,,"risk, theory, approach, detection, estimation, process, representation, parameter, estimation, estimation, detection, phase, frequency, delay, signal, application, communication, signal, design, processing"
338,EE 5251,Optimal Filtering and Estimation,"Basic probability theory, stochastic processes. Gauss-Markov model. Batch/recursive least squares estimation. Filtering of linear/nonlinear systems. Continuous-time Kalman-Bucy filter. Unscented Kalman filter, particle filters. Applications.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","optimal, filtering, estimation",11,,,,"probability, theory, process, model, square, estimation, filtering, system, filter, kalman, filter, particle, filter, application"
339,ECE 441,Detection Estimation Theory,"Bayesian and non-Bayesian inference in signal processing, data science, communications, control, and machine learning. Principles of detection, estimation, and time series analysis. Detection: binary and M-ary hypothesis testing; receiver operating characteristics; minimax, randomized, and Neyman-Pearson tests. Estimation: random and nonrandom parameter estimation; Bayes least squares, maximum a posteriori, and maximum likelihood estimation; Cramer-Rao lower bound. Time series analysis: Wiener and Kalman filtering.",University of Rochester,"Rochester, New York","detection, estimation, theory",11,,,,"inference, processing, data, science, communication, control, machine, learning, principle, detection, estimation, time, series, analysis, detection, hypothesis, testing, characteristic, minimax, test, estimation, random, parameter, estimation, square, posteriori, likelihood, estimation, bound, time, series, analysis, wiener, kalman, filtering"
340,PSC 505,Maximum Likelihood Estimation,"The classical linear regression model is inappropriate for many of the most interesting problems in political science. This course builds upon the analytical foundations of PSC 404 and 405, taking the latter's emphasis on the classical linear model as its point of departure. Here students will learn methods to analyze models and data for event counts, durations, censoring, truncation, selection, multinomial ordered/unordered categories, strategic choices, spatial voting models, and time series. A major goal of the course will be to teach students how to develop new models and techniques for analyzing issues they encounter in their own research.",University of Rochester,"Rochester, New York","maximum, likelihood, estimation",11,,,,"regression, model, problem, science, course, foundation, psc, latter, emphasis, model, point, departure, student, method, model, data, event, count, duration, truncation, selection, category, choice, voting, model, time, series, goal, course, student, model, technique, issue, research"
341,STAT-613,Data Science,"This course focuses on the collection, organization, analysis, interpretation, and presentation of data. Topics include the acquisition, cleaning, and imputation of data from a variety of sources; data visualization and graphing; data presentation and packaging; and programming considerations for large datasets. The course uses R packages and programming language. Crosslist:",American,"Washington, DC",,11,,,,"course, collection, organization, analysis, interpretation, presentation, data, topic, acquisition, cleaning, imputation, data, variety, source, data, visualization, graphing, presentation, packaging, consideration, datasets, course, r, package, language, crosslist"
342,DATA 1030,Hands-on Data Science,"Develops all aspects of the data science pipeline: data acquisition and cleaning, handling missing data, data storage, exploratory data analysis, visualization, feature engineering, modeling, interpretation, presentation in the context of real-world datasets. Fundamental considerations for data analysis are emphasized (the bias-variance tradeoff, training, validation, testing). Classical models and techniques for classification and regression are included (linear regression, ridge and lasso regression, logistic regression, support vector machines, decision trees, ensemble methods). Uses the Python data science ecosystem.",Brown,"Providence, Rhode Island ",hands-on,11,,,,"develops, aspect, data, science, pipeline, data, acquisition, cleaning, data, data, storage, data, analysis, visualization, feature, engineering, modeling, interpretation, presentation, context, datasets, consideration, data, analysis, bias-variance, tradeoff, training, validation, model, technique, classification, regression, regression, ridge, regression, regression, support, vector, machine, decision, tree, method, python, data, science, ecosystem"
343,STCS GR5705,Introduction to Data Science,"Data Science is a dynamic and fast growing field at the interface of Statistics and Computer Science. The emergence of massive datasets containing millions or even billions of observations provides the primary impetus for the field. Such datasets arise, for instance, in large-scale retailing, telecommunications, astronomy, and internet social media. This course will emphasize practical techniques for working with large-scale data. Specific topics covered will include statistical modeling and machine learning, data pipelines, programming languages, ""big data"" tools, and real world topics and case studies. The use of statistical and data manipulation software will be required. Course intended for non-quantitative graduate-level disciplines. This course will not count towards degree requirements for graduate programs such as Statistics, Computer Science, or Data Science. Students should inquire with their respective programs to determine eligibility of course to count towards minimum degree requirements. This course does not fulfill any major requirements for undergraduate degree programs offered by Computer Science.",Columbia,"New York City, New York",,11,,,,"data, science, field, interface, statistic, computer, science, emergence, datasets, million, billion, observation, impetus, field, datasets, instance, retailing, telecommunication, astronomy, medium, course, technique, data, topic, modeling, machine, learning, data, pipeline, language, data, tool, world, topic, case, study, use, data, manipulation, software, course, discipline, course, towards, requirement, graduate, program, statistic, computer, science, data, science, student, program, eligibility, course, towards, requirement, course, requirement, degree, program, computer, science"
344,IDS 791,Data Science Dialogues,A series of discussions that give students snapshots of data science projects from practitioners and researchers.,Duke,"Durham, North Carolina",dialogue,11,,,,"series, discussion, student, snapshot, data, science, project, practitioner, researcher"
345,IDS 704,Data Science Ethics,"Data science tools are not morally neutral. Almost all the tools we create in data science influence society in a meaningful way, and almost all the data models we implement make assumptions about society that may or may not represent reality.",Duke,"Durham, North Carolina",ethic,11,,,,"data, science, tool, tool, data, science, influence, society, way, data, model, assumption, society, reality"
346,DATS 6101,Introduction to Data Science,"Basic techniques of data science; algorithms for data mining; and basics of statistical modeling. Concepts, abstractions, and practical techniques.",George Washington University,"Washington, DC",,11,,,,"technique, data, science, algorithm, data, mining, basic, modeling, concept, abstraction, technique"
347,685.648,Data Science,"This course will cover the core concepts and skills in the emerging field of data science. These include problem identification and communication, probability, statistical inference, visualization, extract/transform/load (ETL), exploratory data analysis (EDA), linear and logistic regression, model evaluation and various machine learning algorithms such as random forests, k-means clustering, and association rules. The course recognizes that although data science uses machine learning techniques, it is not synonymous with machine learning. The course emphasizes an understanding of both data (through the use of systems theory, probability, and simulation) and algorithms (through the use of synthetic and real data sets). The guiding principles throughout are communication and reproducibility. The course is geared towards giving students direct experience in solving the programming and analytical challenges associated with data science.",Johns Hopkins,"Baltimore, Maryland",,11,,,,"course, core, concept, skill, field, data, science, problem, identification, communication, probability, inference, visualization, extract/transform/load, etl, data, analysis, eda, regression, model, evaluation, machine, algorithm, forest, k-means, clustering, association, rule, course, data, science, machine, technique, machine, learning, course, understanding, data, use, system, theory, probability, simulation, algorithm, use, data, set, guiding, principle, communication, reproducibility, course, towards, student, experience, programming, challenge, data, science"
348,MSDS 402,DL Introduction to Data Science,"This course introduces the field of data science, which combines business strategy, information technology, and modeling methods. The course reviews the benefits and opportunities of data science, as well as organizational, implementation, and ethical issues. The course provides an overview of modeling methods, analytics software, and information systems. It discusses business problems and solutions for traditional and contemporary data management systems, and the selection of appropriate tools for data collection and analysis. The course also reviews approaches to business research, sampling, and survey design.",Northwestern,"Evanston, Illinois",dl,11,,,,"course, field, data, science, business, strategy, information, technology, method, course, benefit, opportunity, data, science, implementation, issue, course, overview, method, analytics, software, information, system, business, problem, solution, data, management, system, selection, tool, data, collection, analysis, course, approach, business, research, sampling, survey, design"
349,DS-GA 1001,Introduction to Data Science,"This required course for the MS in Data Science should be taken in the first year of study. It introduces students to basic algorithms and software tools, and teaches them how to deal with data, representing data, and methodology. Hands-on experience using Torch, a software system being developed at NYU and other research centers that has a large data science library, will also be provided. Prerequisites include: Basic Probability or Statistics (undergraduate level), Calculus I, Linear Algebra, some experience in programming: Java, C, C++, Python, R, Lua, Ruby, OCaml or similar languages",NYU,"New York City, New York",,11,,,,"course, m, data, science, year, study, student, algorithm, software, tool, data, data, methodology, experience, torch, software, system, nyu, research, center, data, science, library, prerequisite, probability, statistic, level, i, algebra, experience, programming, java, c, c++, python, r, lua, ruby, ocaml, language"
350,SMU2,Doing Data Science,"In this course, students get a practical hands-on overview of the end-to-end data science process using industry standard tools and techniques. Students will also be given real-world examples to connect the dots between data science concepts and their practical application in industry settings.",SMU,"Dallas, Texas",,11,,,,"course, student, overview, data, science, process, industry, standard, tool, technique, student, example, dot, data, science, concept, application, industry, setting"
351,IST 687,Introduction to Data Science,"The course provides students a hands-on introduction to data science, with applied examples of data collection, processing, transformation, management and analysis. Students will explore key concepts related to data science, including applied statistics, information visualization, text mining and machine learning. R, the open source statistical analysis and visualization system, will be used throughout the course. R is reckoned by many to be the most popular choice among data analysts worldwide; having knowledge and skill with using it is considered a valuable and marketable job skill for most data scientists. Students will also learn how to use supervised and unsupervised machine learning techniques. They will focus on structured data, using R (e.g., support vector machines, association rules mining) in conjunction with learning the full life cycle of data science.",Syracuse,"Syracuse, New York",,11,,,,"course, student, introduction, science, example, data, collection, processing, transformation, management, analysis, student, concept, data, science, statistic, information, visualization, text, mining, machine, learning, r, source, analysis, visualization, system, course, r, choice, data, analyst, knowledge, skill, job, skill, data, scientist, student, machine, technique, data, r, e.g., support, vector, machine, association, rule, conjunction, life, cycle, data, science"
352,DATA601,Introduction to Data Science,"The goal of this class is to give students an introduction to and hands on experience with all phases of the data science process using real data and modern tools. Topics that will be covered include data formats, loading, and cleaning; data storage in relational and non-relational stores; data governance, data analysis using supervised and unsupervised learning using R and similar tools, and sound evaluation methods; data visualization; and scaling up with cluster computing, MapReduce, Hadoop, and Spark.",University of Maryland--College Park,"Adelphi, Maryland",,11,,,,"goal, class, student, introduction, hand, experience, phase, data, science, process, data, tool, topic, data, format, loading, cleaning, data, storage, store, data, governance, data, analysis, learning, r, tool, evaluation, method, data, visualization, cluster, computing, mapreduce, hadoop, spark"
353,COMPSCI 590S,Systems for Data Science,"In this course, students will learn the fundamentals behind large-scale systems in the context of data science. We will cover the issues involved in scaling up (to many processors) and out (to many nodes) parallelism in order to perform fast analyses on large datasets. These include locality and data representation, concurrency, distributed databases and systems, performance analysis and understanding. We will explore the details of existing and emerging data science platforms, including MapReduce-Hadoop, Spark, and more. ",University of Massachusetts--Amherst,"Amherst, Massachusetts",system,7,Software,5,Computer Science,"course, student, fundamental, system, context, data, science, issue, processor, node, parallelism, order, analysis, datasets, locality, data, representation, concurrency, database, system, performance, analysis, understanding, detail, data, science, platform, mapreduce-hadoop, spark"
354,DSCI 8970,Data Science M.S. Colloquium,Recent developments in Data Science and related disciplines. Students must attend 13 of the 15 lectures.,University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","m.s, colloquium",11,,,,"development, data, science, discipline, student, lecture"
355,UND 7,INTRODUCTION TO DATA SCIENCE,"Building on the quantitative foundations established in the first semester, this course introduces students to the entire process of data science, including data acquisition, visualization and quality analysis, machine learning methods, communicating results, and the ethical considerations in managing and processing data. Students will experiment with the concepts and methods of the data science process, apply them to real world datasets and engage with the ethical challenges of data science in business.",University of Notre Dame,"Notre Dame, Indiana",,11,,,,"building, foundation, semester, course, student, process, data, science, data, acquisition, visualization, quality, analysis, machine, learning, method, result, consideration, data, student, concept, method, data, science, process, world, datasets, engage, challenge, data, science, business"
356,MSDS629,Experiments in Data Science,"A survey of statistical methods and best practices surrounding the design and analysis of experiments in the Jeld of data science. A/B tests, A/B/n tests, factorial and fractional factorial designs, response surface methodology and multi-armed bandit experiments will all be treated.",University of San Francisco,"San Francisco, California",experiment,11,,,,"survey, method, practice, design, analysis, experiment, jeld, data, science, a/b, test, a/b/n, test, design, response, surface, methodology, bandit, experiment"
357,INF 549,Introduction to Computational Thinking and Data Science,"Introduction to data analysis techniques and associated computing concepts for non-programmers. Topics include foundations for data analysis, visualization, parallel processing, metadata, provenance, and data stewardship.",University of Southern California,"Los Angeles, California",thinking,11,,,,"introduction, analysis, technique, concept, non-programmers, topic, foundation, data, analysis, visualization, processing, metadata, provenance, data, stewardship"
358,STAT 627,Professional Skills in Data Science,"This topics course is aimed at providing statistics graduate students with an understanding of and experience with important aspects of professional development in statistics, including skills with internet tools, sophisticated use of statistical languages (such as R) and other emerging topics",University of Wisconsin--Madison,"Madison, Wisconsin","professional, skill",11,,,,"topic, course, statistic, student, understanding, experience, aspect, development, statistic, skill, internet, tool, use, language, r, topic"
359,5340,Data Science Rights & Responsibility,"This course explores the ethos, ethics, and obligations of the modern data scientist. Modern data security and privacy vulnerabilities, as well as solutions, for individual-level data and the institutions from which the data is derived will be discussed. The history, ethics, and standards for human experimentation are reviewed. The legal landscape concerning data ownership and privacy will be surveyed.",Vanderbilt University,"Nashville, Tennessee","right, responsibility",11,,,,"course, ethos, ethic, obligation, data, scientist, data, security, privacy, vulnerability, solution, data, institution, data, history, ethic, standard, experimentation, landscape, data, ownership, privacy"
360,5360,Case-studies in Data Science,"This course will focus on an in-depth exploration of multiple (e.g., 6-8) case studies of modern data science applications. For half of the case studies, students in small groups will attempt their own solutions by re-analyze data and comparing their findings to each other and the original solution. The other case studies will focus on high-profile data science solutions, in academia and business, in which two yielded generally positive outcomes (reproducible, impactful) and two did not (not-reproducible, unethical). The processes of obtaining and processing the data, preforming the analysis, and communicating the results will be discussed.",Vanderbilt University,"Nashville, Tennessee",case-studies,11,,,,"course, exploration, case, study, data, science, application, half, case, study, student, group, solution, data, finding, solution, case, study, data, science, solution, academia, business, outcome, process, data, analysis, result"
361,5380,Data Science in Teams I,"Students will work in small groups to engage in real world problems, and apply their skills in a supervised environment where active learning is reinforced, and learn to make practical decisions. First students will learn how to process data, generate analysis reports and data summaries. Data will come from many sources, e.g. Kaggle competitions, VU/VUMC labs, and online documented data sets. Students will experience a goal-oriented teamwork environment and learn how to participate and support teams as the primary data curator and data analyst.",Vanderbilt University,"Nashville, Tennessee",team,11,,,,"student, group, world, problem, skill, environment, learning, decision, student, data, analysis, report, data, summary, data, source, e.g, kaggle, competition, vu/vumc, lab, online, data, set, student, teamwork, environment, team, data, curator, data, analyst"
362,DS 501,Introduction to Data Science,"This course provides an overview of Data Science, covering a broad selection of key challenges in and methodologies for working with big data. Topics to be covered include data collection, integration, management, modeling, analysis, visualization, prediction and informed decision making, as well as data security and data privacy. This introductory course is integrative across the core disciplines of Data Science, including databases, data warehousing, statistics, data mining, data visualization, high performance computing, cloud computing, and business intelligence. Professional skills, such as communication, presentation, and storytelling with data, will be fostered. Students will acquire a working knowledge of data science through hands-on projects and case studies in a variety of business, engineering, social sciences, or life sciences domains. Issues of ethics, leadership, and teamwork are highlighted. ",Worcester Polytechnic Institute,"Worcester, Massachusetts",,11,,,,"course, overview, data, science, selection, challenge, methodology, data, topic, data, collection, integration, management, modeling, analysis, visualization, prediction, decision, making, data, security, data, privacy, course, core, discipline, data, science, database, data, warehousing, statistic, data, mining, data, visualization, performance, computing, cloud, computing, business, intelligence, skill, communication, presentation, data, student, knowledge, data, science, project, case, study, variety, business, engineering, science, life, science, issue, ethic, leadership, teamwork"
363,DS 501,Introduction to Data Science,"This course provides an overview of Data Science, covering a broad selection of key challenges in and methodologies for working with big data. Topics to be covered include data collection, integration, management, modeling, analysis, visualization, prediction and informed decision making, as well as data security and data privacy. This introductory course is integrative across the core disciplines of Data Science, including databases, data warehousing, statistics, data mining, data visualization, high performance computing, cloud computing, and business intelligence. Professional skills, such as communication, presentation, and storytelling with data, will be fostered. Students will acquire a working knowledge of data science through hands-on projects and case studies in a variety of business, engineering, social sciences, or life sciences domains. Issues of ethics, leadership, and teamwork are highlighted. Prerequisites:None beyond meeting the Data Science admission criteria.",Worcester Polytechnic Institute,"Worcester, Massachusetts",,11,,,,"course, overview, data, science, selection, challenge, methodology, data, topic, data, collection, integration, management, modeling, analysis, visualization, prediction, decision, making, data, security, data, privacy, course, core, discipline, data, science, database, data, warehousing, statistic, data, mining, data, visualization, performance, computing, cloud, computing, business, intelligence, skill, communication, presentation, data, student, knowledge, data, science, project, case, study, variety, business, engineering, science, life, science, issue, ethic, leadership, teamwork, prerequisite, none, data, science, admission, criterion"
364,DS 594,Data Science Internship,"The internship is an elective-credit option designed to provide an opportunity to put into practice the principles studied in previous Data Science courses. Internships will be tailored to the specific interests of the student. Each internship must be carried out in cooperation with a sponsoring organization, generally from off campus and must be approved and advised by a core faculty member in the Data Science program. The internship must include proposal, design and documentation phases. Following the internship, the student will report on his or her internship activities in a mode outlined by the supervising faculty member. Students are limited to counting a maximum of 3 internship credits towards their degree requirements for the M.S. degree in Data Science. We expect a full-time graduate student to take on only part-time (20 hours or less of) internship work during the regular academic semester, while a full-time internship of 40 hours per week is appropriate during the summer semester as long as the student does not take a full class load at the same time. Internship credit cannot be used towards a certificate degree in Data Science. The internship may not be completed at the student?s current place of employment. Prerequisites: Registration for internship credit requires prior approval and signature by the academic advisor.",Worcester Polytechnic Institute,"Worcester, Massachusetts",internship,10,Thesis,1,Topics,"internship, option, opportunity, practice, principle, data, science, course, internship, interest, student, internship, cooperation, organization, campus, core, faculty, member, data, science, program, internship, proposal, design, documentation, phase, internship, student, activity, mode, faculty, member, student, maximum, credit, degree, requirement, m.s, degree, data, science, graduate, student, part-time, hour, internship, work, semester, internship, hour, week, summer, semester, student, class, load, time, credit, certificate, degree, data, science, internship, student, place, employment, prerequisite, registration, internship, credit, approval, signature, advisor"
365,MSDS 432,DL Foundations of Data Engineering,"This course provides an overview of the discipline of data engineering. It introduces software and systems for data science and software development as required in the design of data-intensive applications. Students learn about algorithms, data structures, and technologies or storing and processing data. Students gain experience with open-source software, text editors, and integrated development environments. Students employ best practices in software development, utilizing tools for syntax checking, testing, debugging, and version control. The course also introduces formal models, simulations, and benchmark experiments for evaluating software, systems, and processes.Â",Northwestern,"Evanston, Illinois","dl, foundation, engineering",7,Software,5,Computer Science,"course, overview, discipline, data, engineering, software, system, data, science, software, development, design, application, student, algorithm, data, structure, technology, data, student, experience, software, text, editor, development, environment, student, practice, software, development, tool, syntax, checking, version, control, course, model, simulation, benchmark, experiment, software, system, processes.â"
366,MSDS 432,DL Foundations of Data Engineering,"This course provides an overview of the discipline of data engineering. It introduces software and systems for data science and software development as required in the design of data-intensive applications. Students learn about algorithms, data structures, and technologies or storing and processing data. Students gain experience with open-source software, text editors, and integrated development environments. Students employ best practices in software development, utilizing tools for syntax checking, testing, debugging, and version control. The course also introduces formal models, simulations, and benchmark experiments for evaluating software, systems, and processes.Â",Northwestern,"Evanston, Illinois","dl, foundation, engineering",7,Software,5,Computer Science,"course, overview, discipline, data, engineering, software, system, data, science, software, development, design, application, student, algorithm, data, structure, technology, data, student, experience, software, text, editor, development, environment, student, practice, software, development, tool, syntax, checking, version, control, course, model, simulation, benchmark, experiment, software, system, processes.â"
367,SMU1,Statistical Foundations for Data Science,"Students in this course receive an overview of statistical methods from an experimental design perspective. Students will review statistical sampling, T-tests, Analysis of Variance, Linear Regression and other skills. Rather than calculations, the course focuses on interpretation, analysis and communication of the results and ethics of statistical analysis.",SMU,"Dallas, Texas","statistical, foundation",6,Modeling,2,Statistics,"student, course, overview, method, design, perspective, student, sampling, t-tests, analysis, variance, regression, skill, calculation, course, interpretation, analysis, communication, result, ethic, analysis"
