,Course ID,Course Title,Course Description,University,Location,Course Title Stripped,Minor Cluster,Minor Cluster Name,Major Cluster,Major Cluster Name
238,CMSC625,Modeling and Simulation of Computer Systems,"Performance evaluation methods, Markovian queuing models, open networks of queues, closed product form queuing networks, simulation and measurement of computer systems, benchmarking and workload.",University of Maryland--College Park,"Adelphi, Maryland","modeling, simulation, computer",9,Modeling,3,Statistics
239,BE 567,Modeling Biological Systems,"This course will cover topics in systems biology at the molecular/cellular scale. The emphasis will be on quantitative aspects of molecular biology, with possible subjects including probabilistic aspects of DNA replication, transcription, translation, as well as gene regulatory networks and signaling. The class will involve analyzing and simulating models of biological behavior using MATLAB.",University of Pennsylvania,"Philadelphia, Pennsylvania",,3,Other,2,Topics
240,CIT 596,Molecular Modeling and Simulations,"This course focuses primarily on the design and analysis of algorithms. We will begin with sorting and searching algorithms and then spend most of the course on graph algorithms. In order to study graph algorithms, general algorithm design patterns like dynamic programming and greedy algorithms will be introduced. A section of this course is also devoted to understanding NP-Completeness",University of Pennsylvania,"Philadelphia, Pennsylvania",modeling,9,Modeling,3,Statistics
241,CS 573,Data Privacy and Security,"This course will introduce students to the legal and ethical issues of data privacy and security and computational technologies for protecting privacy and security while allowing society to collect and share person-specific data for many worthy purposes. The main topics include privacy and anonymity models, data anonymization, privacy preserving data mining, access control, secure computations, privacy in social networks and privacy in clinical and public health research. The foundations are drawn from a number of sub-disciplines of Computer Science including: database systems, data mining, computer security, cryptography, and statistics.",Emory,"Atlanta, Georgia ","privacy, security",1,Software,7,Computer Science
242,CS 546/547,Security/Privacy,"This course will cover both classic, foundational topics in computer security as well as recent developments. A key goal of the course will be to educate students to think both as an attacker and as a defender. The focus of the course will be security of computer systems, and will complement CS537, which focuses on distributed systems security.",Rutgers,"New Brunswick, New Jersey",security/privacy,1,Software,7,Computer Science
243,CSCI 8271,Security and Privacy in Computing,"Recent security/privacy issues in computer systems/networks. Threats, attacks, countermeasures. Security research, authentication, network security, wireless security, computer system security, anonymous system, pseudonym, access control, intrusion detection system, cryptographic protocols. How to pursue research in security and design secure systems.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","security, privacy",1,Software,7,Computer Science
244,INF 529,Security and Privacy in Informatics,Covers societal implications of information privacy and how to design systems to best preserve privacy.,University of Southern California,"Los Angeles, California","security, privacy",1,Software,7,Computer Science
245,IST 769,Advanced Database Management,"This course provides an in-depth analysis of database management system architecture, building complex objects and applications using database forms and reports. Students learn about data warehousing, establishing and implementing database security, and tuning databases for optimum performance. Upon completion of this course, students will achieve a deep technical knowledge and comprehension of database management systems, management of solution development and management of information technology. Oracle 10g and Developer Suite 10g will be used for assignments, lab exercises and course projects.",Syracuse,"Syracuse, New York","database, management",7,Data Warehousing,5,Data Warehousing
246,STAT674,Applied Data Base Management,Provides an in-depth understanding of using computers to manage data using programs such as SAS and Microsoft/Access. May be offered concurrently with STAT 474.,University of Delaware,"Newark, Delaware","base, management",7,Data Warehousing,5,Data Warehousing
247,CS 525,Advanced Database Organization,"Comprehensive coverage of the problems involved in database system implementation and an in-depth examination of contemporary structures and techniques used in modern database management systems. Teaches advanced skills appropriate for DBMS architects and developers , database specialist, and the designers and developers of client/server and distributed systems. Focus is on transaction management, database structures and distributed processing.",Illinois Institute of Tech,"Chicago, Illinois ","database, organization",7,Data Warehousing,5,Data Warehousing
248,CS 425,Database Organization,"Overview of database architectures, including the Relational, Hierarchical, Network, and Object Models. Database interfaces, including the SQL query language. Database design using the Entity-Relationship Model. Issues such as security, integrity, and query optimization.",Illinois Institute of Tech,"Chicago, Illinois ","database, organization",7,Data Warehousing,5,Data Warehousing
249,CS 525,Advanced Database Organization,"Comprehensive coverage of the problems involved in database system implementation and an in-depth examination of contemporary structures and techniques used in modern database management systems. Teaches advanced skills appropriate for DBMS architects and developers , database specialist, and the designers and developers of client/server and distributed systems. Focus is on transaction management, database structures and distributed processing.",Illinois Institute of Tech,"Chicago, Illinois ","database, organization",7,Data Warehousing,5,Data Warehousing
250,SMU4,File Organization & Database Management,"In this course, students learn about current database approaches and systems, as well as the principles of design and the use of these systems. Students learn database query language design and implementation constraints as well as applications of large databases, including a survey of file structures and access techniques, such as NoSQL databases. Students will use a relational database management system to implement a database design project.",SMU,"Dallas, Texas","file, organization, database, management",7,Data Warehousing,5,Data Warehousing
251,EE 8367,Parallel Computer Organization,"Design/implementation of multiprocessor systems. Parallel machine organization, system design. Differences between parallel, uniprocessor machines. Programming models. Synchronization/communication. Topologies, message routing strategies. Performance optimization techniques. Compiler, system software issues.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","computer, organization",0,Thesis,2,Topics
252,INF 551,Foundations of Data Management,"Function and design of modern storage systems, including cloud; data management techniques; data modeling; network attached storage, clusters and data centers; relational databases; the map-reduce paradigm.",University of Southern California,"Los Angeles, California",management,7,Data Warehousing,5,Data Warehousing
253,605.641,Principles of Database Systems,"This course examines the underlying concepts and theory of database management systems. Topics include database system architectures, data models, query languages, conceptual and logical database design, physical organization, and transaction management. The entity-relationship model and relational model are investigated in detail, object-oriented databases are introduced, and legacy systems based on the network and hierarchical models are briefly described. Mappings from the conceptual level to the logical level, integrity constraints, dependencies, and normalization are studied as a basis for formal design. Theoretical languages such as the relational algebra and the relational calculus are described, and high-level languages such as SQL and QBE are discussed. An overview of file organization and access methods is provided as a basis for discussion of heuristic query optimization techniques. Finally, transaction processing techniques are presented with a specific emphasis on concurrency control and database recovery.",Johns Hopkins,"Baltimore, Maryland",database,7,Data Warehousing,5,Data Warehousing
254,CS-GY 6083,Principles of Database Systems,"This course broadly introduces database systems, including the relational data model, query languages, database design, index and file structures, query processing and optimization, concurrency and recovery, transaction management and database design. Students acquire hands-on experience in working with database systems and in building web-accessible database applications.",NYU,"New York City, New York",database,7,Data Warehousing,5,Data Warehousing
255,IST 659,Data Administration Concepts and Database Administration,"This course provides a foundation for database administration, exploring the fundamental models of database management systems. It covers the definition, development and management of databases for information systems. Students learn data analysis techniques, data modeling, schema design, query languages and search specifications, including Structured Query Language (SQL), data structures, file organizations, principles of data management systems, and hierarchical, network and relational data models. Students gain hands-on experience using Microsoft’s Access and SQL Server database management systems (DBMS) as implementation vehicles. This course provides hands-on experience in database design and implementation through assignments, lab exercises and course projects. This course also introduces advanced database concepts such as transaction management and concurrency control, distributed databases, multitier client/server architectures, web-based database applications, data warehousing and NoSQL.",Syracuse,"Syracuse, New York","administration, database, administration",7,Data Warehousing,5,Data Warehousing
256,CSCI 5707,Principles of Database Systems,"Concepts, database architecture, alternative conceptual data models, foundations of data manipulation/analysis, logical data models, database designs, models of database security/integrity, current trends.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ",database,7,Data Warehousing,5,Data Warehousing
257,DATASCI W205,Fundamentals of Data Engineering,"Storing, managing, and processing datasets are foundational processes in data science. This course introduces the fundamental knowledge and skills of data engineering that are required to be effective as a data scientist. This course focuses on the basics of data pipelines, data pipeline flows and associated business use cases, and how organizations derive value from data and data engineering. As these fundamentals of data engineering are introduced, learners will interact with data and data processes at various stages in the pipeline, understand key data engineering tools and platforms, and use and connect critical technologies through which one can construct storage and processing architectures that underpin data science applications.",UC Berkeley,"Berkeley, California ",engineering,7,Data Warehousing,5,Data Warehousing
258,DATA 504,Databases and Large Data Repositories,"The focus of this course is on understanding information systems and infrastructure used in Data Analytics. The course will provide an introduction to elements of database design and database query languages. Students will also gain technical understanding of and hands-on experience with the information technology infrastructure required for data analytics. The first part of the course focuses on traditional databases and structured data. It covers association between data elements and data models (including entity-relationship and relational models), relational database design techniques and database query languages. Students will be exposed to the basics in query processing, transaction management and concurrency control. The second part of the course covers non-relational databases and big data infrastructure. Students compare and contrast and gain hands-on experience with various non-relational databases including document, graph and column databases. Students will also be exposed to Hadoop environment and basic services available in this environment, distributed file systems, storage and processing.",Binghamton,"Binghamton, New York",,3,Other,2,Topics
259,BIOL-GA 1009,Biological Databases and Datamining,"The course is divided into three sections: 1) Introduction to MySQL and R. 2) Introduction to different data types, and 3) Machine learning methods for data mining. Students will learn to create their own database using MySQL and SQLite containing different types of biological data. Students will also learn to mine the heterogeneous biological data using machine-learning methods such as Support Vector Machines and Multiple Regressions. We will apply these methods on experimental data in order to classify and prediction gene function and regulation.",NYU,"New York City, New York",,3,Other,2,Topics
260,CS 539,Databases,"This course focuses on the implementation of data management systems. It builds upon knowledge gathered in 198:336 (or a similar Introduction to Databases course), and provides students the tools to understand the internals of a DBMS. In particular, we will cover transaction management, query processing and query optimization in details. We will also discuss the implementation of systems handling text data as well as data management issues in a web context.",Rutgers,"New Brunswick, New Jersey",,3,Other,2,Topics
261,CSCI 8725,Databases for Bioinformatics,"DBMS support for biological databases, data models. Searching integrated public domain databases. Queries/analyses, DBMS extensions, emerging applications.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ",,3,Other,2,Topics
262,UND 1,DATABASES & DATA SECURITY,"Calibrated to data science applications, this course focuses on effective techniques in managing, ingesting, retrieving and updating information from a database system. It provides an introduction to relational databases, including topics such as relational calculus and algebra, integrity constraints, distributed databases, and data security. Students are introduced to database technologies, such as NoSQL, graph databases, in-memory databases, querying data over HDFS (Hive), etc. A final project consists of the integration of a database system into an analytics workflow",University of Notre Dame,"Notre Dame, Indiana",security,1,Software,7,Computer Science
263,CIS 550,Databases,"This course provides an introduction to the broad field of database and information systems, covering a variety of topicsrelating to structured data, ranging from data modeling to logical foundationsand popular languages, to system implementations. Wewill study the theory ofrelational and XML data design; the basics of query languages; efficientstorage of data, execution of queries and query optimization; transactions andupdates; web-database development; and ""big data"" and NoSQL systems.",University of Pennsylvania,"Philadelphia, Pennsylvania",,3,Other,2,Topics
264,MSDS691,Relational Databases,"An introduction to relational databases focusing on learning SQL with the Postgres database. Topics include schemas (tables in various normal forms), indexes, query efficiency, server-specific navigation functions, and queries with grouping, ordering, sorting, collapsing, and joins.",University of San Francisco,"San Francisco, California",,3,Other,2,Topics
265,DATS 6102,Data Warehousing,"Fundamentals and practical applications of data warehousing, including planning requirements, infrastructure, design, and maintenance.",George Washington University,"Washington, DC",,3,Other,2,Topics
266,IST 722,Data Warehousing,"This course introduces the concepts of business intelligence (BI) and the practice/techniques in building a BI solution. Students focus on how to use data warehouses as a BI solution to make better organizational decisions. Topics include concepts, principles and tools for designing, and implementing data warehouses. Students learn the differences between Ralph Kimball’s and Bill Inmon’s approaches, roles and responsibilities in the design and implementation of a data warehouse, project management guidelines and techniques, and requirements gathering. Coursework also covers dimensional modeling, Extract Transform and Load (ETL) architecture, specification and data loading, and master and reference data management, as well as integration approaches (ETL, EII, EAI), analytical reporting concepts, data governance and recent trends in the data warehouse domain.",Syracuse,"Syracuse, New York",,3,Other,2,Topics
267,IS733,Data Warehousing and Data Mining,"The purpose of this course is to provide a comprehensive discussion of using organizational databases to enable decision support through mining data. This course will provide an in-depth understanding of the technical, business and research issues in the area of data mining. Areas of data mining will include justifying the need for knowledge recovery in databases and data mining methods such as clustering, classification, Bayesian networks, association rules and visualization. The course will provide a brief introduction to issues in data warehousing which include designing multi-dimensional data models; cleansing and loading of data; reporting; ad hoc querying and multi-dimensional operations, such as slicing, dicing, pivoting, drill-down and roll-up operations. New areas of research and development in data mining will also be discussed.",University of Maryland--College Park,"Adelphi, Maryland","warehousing, mining",10,Data Mining,1,Data Mining
268,CSC-634,Database Management Systems,"Examination of database management systems, distributed systems, evaluation and selection of computer systems, privacy and security, and performance evaluation. This course provides a fundamental exposure to relational architecture through exercises in Microsoft Access and Oracle 8, including an introduction to SQL. Crosslist:",American,"Washington, DC","database, management",7,Data Warehousing,5,Data Warehousing
269,COMPSCI 516,Database Systems,"Principles and techniques for making intelligent use of the massive amounts of data generated in commerce, industry, science, and society. Topics include basic concepts in databases (SQL, relational algebra, relational calculus, normal forms), indexing and hashing, query processing and query optimizations, transactions (concurrency control and recovery), parallel and distributed data processing, NOSQL and column store, and selected advanced topics (e.g. Datalog, cloud computing fault-tolerant / self-tuning data management, Web information retrieval/extraction, data warehouse, OLAP, data mining). Prerequisites: Computer Science 316 or an introductory database course or consent of instructor.",Duke,"Durham, North Carolina",database,7,Data Warehousing,5,Data Warehousing
270,CS 554,Database Systems,"This course covers tabular data storage and processing using the classic SQL language, query processing and optimization algorithms. Novel data formats are explored emphasizing commonly used key-value, document, RDF and graph representations. Storage and processing techniques for large quantity of data are presented.",Emory,"Atlanta, Georgia ",database,7,Data Warehousing,5,Data Warehousing
271,605.741,Large-Scale Database Systems,"This course investigates the theory and practice of modern large-scale database systems. Large-scale approaches include distributed relational databases; data warehouses; and the Hadoop ecosystem (Hadoop, Accumulo, and the Mahout machine learning libraries). Topics discussed include data design and architecture; database security, integrity, query processing, query optimization, transaction management, concurrency control, and fault tolerance; and query formulation, algorithms, and cloud analytics. At the end of the course, students will understand the principles of several common large-scale data systems including their architecture, performance, and costs. Students will also gain a sense of which approach is recommended for different circumstances.",Johns Hopkins,"Baltimore, Maryland",database,7,Data Warehousing,5,Data Warehousing
272,MSDS 420,DL Database Systems and Data Preparation,"In this course, students explore the fundamental concepts of database management and data preparation. With a focus on applications in large-scale data analytics projects, the course introduces relational database systems, the relational model, normalization process, and structured query language (SQL). The course discusses topics related to data integration and cleaning, database programming for extract, transform, and load (ETL) operations. Students learn NoSQL technologies for working with unstructured data and document-oriented information retrieval systems. They learn how to index and score documents for effective and relevant responses to user queries. Students acquire hands-on programming experience for data preparation and data extraction using various data sources and file formats.",Northwestern,"Evanston, Illinois","database, preparation",7,Data Warehousing,5,Data Warehousing
273,CS-GY 6093,Advanced Database Systems,"Students in this advanced course on database systems and data management are assumed to have a solid background in databases. The course typically covers a selection from the following topics: (1) advanced relational query processing and optimization, (2) OLAP and data warehousing, (3) data mining, (4) stream databases and other emerging database architectures and applications, (5) advanced transaction processing, (6) databases and the Web: text, search and semistructured data, or (7) geographic information systems. Topics are taught based on a reading list of selected research papers. Students work on a course project and may have to present in class.",NYU,"New York City, New York",database,7,Data Warehousing,5,Data Warehousing
274,COMP 115,Database Systems,"Fundamental concepts of database management systems. Topics include: data models (relational, object-oriented, and others); the SQL query language; implementation techniques of database management systems (storage and index structures, concurrency control, recovery, and query processing); management of unstructured and semistructured data; and scientific data collections.",Tufts,"Medford, Massachusetts",database,7,Data Warehousing,5,Data Warehousing
275,COM SCI 143,Database Systems,"Information systems and database systems in enterprises. File organization and secondary storage structures. Relational model and relational database systems. Network, hierarchical, and other models. Query languages. Database design principles. Transactions, concurrency, and recovery. Integrity and authorization.",UCLA,"Los Angeles, California",database,7,Data Warehousing,5,Data Warehousing
276,CSE 562,Database Systems,"The basic design principles of systems managing very large databases will be discussed. Topics will include: database design, data models, integrity constraints, query languages, database file organization, indexing, query processing and optimization, transaction processing. Students will implement one or more modules of a prototype database system.",University at Buffalo,"Buffalo, New York",database,7,Data Warehousing,5,Data Warehousing
277,CISC637,Database Systems,"Physical and logical organization of databases. Data retrieval languages, relational database languages, security and integrity, concurrency, distributed databases.",University of Delaware,"Newark, Delaware",database,7,Data Warehousing,5,Data Warehousing
278,COMP 3421,Introduction to Database Management Systems,"An introductory class in databases explaining what a database is and how to use one. Topics include database design, ER modeling, database normalization, relational algebra, SQL, physical organization of records and clocks, heap files, sorted files, hashing, extendible hashing, linear hashing and B trees. Each student will design, load, query and update a nontrivial database using the Oracle DMBS.",University of Denver,"Denver, Colorado","introduction, management",7,Data Warehousing,5,Data Warehousing
279,CS 411,Database Systems,"Examination of the logical organization of databases: the entity-relationship model; the hierarchical, network, and relational data models and their languages. Functional dependencies and normal forms. Design, implementation, and optimization of query languages; security and integrity; concurrency control, and distributed database systems",University of Illinois--Urbana,"Urbana, Illinois",database,7,Data Warehousing,5,Data Warehousing
280,CSCI 5708,Architecture and Implementation of Database Management Systems,"Techniques in commercial/research-oriented database systems. Catalogs. Physical storage techniques. Query processing/optimization. Transaction management. Mechanisms for concurrency control, disaster recovery, distribution, security, integrity, extended data types, triggers, and rules.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","architecture, implementation, database, management",7,Data Warehousing,5,Data Warehousing
281,CSC 461,Database Systems,"This course presents the fundamental concepts of database design and use. It provides a study of data models, data description languages, and query facilities including relational algebra and SQL, data normalization, transactions and their properties, physical data organization and indexing, security issues and object databases. It also looks at the new trends in databases. The knowledge of the above topics will be applied in the design and implementation of a database application using a target database management system as part of a semester-long group project.",University of Rochester,"Rochester, New York",database,7,Data Warehousing,5,Data Warehousing
282,CS 542,Database Management Systems,"An introduction to the theory and design of database management systems. Topics covered include internals of database management systems, fundamental concepts in database theory, and database application design and development. In particular, logical design and conceptual modeling, physical d atabase design strategies, relational data model and query languages, query optimization, transaction management and distributed databases. Typically there are hands-on assignments and/or a course project. Selected topics from the current database research literature may be touched upon as well.",Worcester Polytechnic Institute,"Worcester, Massachusetts","database, management",7,Data Warehousing,5,Data Warehousing
283,MIS 571,Database Applications Development,"Business applications are increasingly centered on databases and the delivery of high-quality data throughout the organization. This course introduces students to the theory and practice of computer-based data management. It focuses on the design of database applications that will meet the needs of an organization and its managers. The course also covers data security, data integrity, data quality, and backup and recovery procedures. Students will be exposed to commercially available database management systems, such as MS/Access and Oracle. As a project during the course, students will design and implement a small database that meets the needs of some real-world business data application. The project report will include recommendations for ensuring security, integrity, and quality of the data.",Worcester Polytechnic Institute,"Worcester, Massachusetts","database, development",7,Data Warehousing,5,Data Warehousing
284,CS 561,Advanced Topics in Database Systems,"This course covers modern database and information systems as well as research issues in the field. Topics and systems covered may include object oriented, workflow, active, deductive, spatial, temporal and multimedia databases. Also discussed will be recent advances in database systems such as data mining, on-line analytical processing, data warehousing, declarative and visual query languages, multimedia database tools, web and unstructured data sources, and client-server and heterogeneous systems. The specific subset of topics for a given course offering is selected by the instructor. Research papers from recent journals and conferences are used. Group project required.",Worcester Polytechnic Institute,"Worcester, Massachusetts",database,7,Data Warehousing,5,Data Warehousing
285,IDS 701,Data to Decision,"Introduction to using data to make practical decisions. Students will work in small groups to analyze and understand the implications of real, messy data sets. Teams will design and implement their own analysis plan in order to recommend a strategy for solving problems.",Duke,"Durham, North Carolina",decision,3,Other,2,Topics
286,PPUA 5261,Dynamic Modeling for Environmental Decision Making,"Introduces the theory, methods, and tools of dynamic modeling for policy and investment decision making, with special focus on environmental issues. Makes use of state-of-the-art computing methods to translate theory and concepts into executable models and provides extensive hands-on modeling experience. Topics include discounting, intertemporal optimization, dynamic games, and treatment of uncertainty.",Northeastern,"Boston, Massachusetts","modeling, decision, making",9,Modeling,3,Statistics
287,MSDS 460,DL Decision Analytics,"This course covers fundamental concepts, solution techniques, modeling approaches, and applications of decision analytics. It introduces commonly used methods of optimization, simulation and decision analysis techniques for prescriptive analytics in business. Students explore linear programming, network optimization, integer linear programming, goal programming, multiple objective optimization, nonlinear programming, metaheuristic algorithms, stochastic simulation, queuing modeling, decision analysis, and Markov decision processes. Students develop a contextual understanding of techniques useful for managerial decision support. They implement decision-analytic techniques using a state-of-the-art analytical modeling platform. This is a problem and project-based course.",Northwestern,"Evanston, Illinois",decision,3,Other,2,Topics
288,BMIN-GA 3002,Clinical Decision Support,"Clinical decision support can be thought of as the use of information technology to support medical decision-making. In this course, students will learn the fundamentals of clinical decision support with the end result being the design of their own clinical decision support tool.",NYU,"New York City, New York","decision, support",3,Other,2,Topics
289,MBC 638,Data Analysis and Decision Making,"This course covers the concepts, principles and methods that support the scientific approach to managerial problem solving and process improvement. Students learn basic statistical techniques, how and when to use those techniques and the assumptions associated with their use. Students will be able to perform statistical analyses and interpret results in a meaningful way, and relate results of such analyses to become information-based decision makers.",Syracuse,"Syracuse, New York","analysis, decision, making",3,Other,2,Topics
290,PUBH 8442,Bayesian Decision Theory and Data Analysis,"Theory/application of Bayesian methods. Bayesian methods compared with traditional, frequentist methods.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","decision, theory, analysis",1,Software,7,Computer Science
291,DS-GA 1008,Deep Learning,"This course concerns the latest techniques in deep learning and representation learning, focusing on supervised and unsupervised deep learning, embedding methods, metric learning, convolutional net and recurrent nets, with applications to computer vision, natural language understanding, and speech recognition. The pre-requisites include: DS-GA 1001 Intro to Data Science or a graduate-level machine learning course.",NYU,"New York City, New York",learning,5,Deep Learning,4,Machine Learning
292,BMIN-GA 3007,Deep Learning for Biomedical Data,Students will learn the most common deep learning methods emerging in medicine. Students will be able to differentiate various deep learning methods and choose the most appropriate ones for specific research methods.,NYU,"New York City, New York",learning,5,Deep Learning,4,Machine Learning
293,DATASCI W251,Deep Learning in the Cloud and at the Edge,"This hands-on course introduces data scientists to technologies related to building and operating live, high throughput Deep Learning applications running on powerful servers in the Cloud as well on smaller and lower power devices at the Edge of the Network. The material of the class is a set of practical approaches, code recipes, and lessons learned. It is based on the latest developments in the Industry andindustry use cases as opposed to pure theory. It is taught by professionals with decades of industry experience.",UC Berkeley,"Berkeley, California ","learning, cloud, edge",11,Parallel Computing,8,HPC
294,ECE 226,Deep Learning: Hardware Platforms,"This course aims to present the mathematical and computational challenges for holistic content/algorithm/hardware codesign of an efficient deep learning framework. Participants will discuss selected topics including DNNs, CNNs, and RNNs in both supervised and unsupervised settings. Special emphasis will be on optimizing DL physical performance on different hardware platforms. The hardware platforms include CPU-CPU and CPU-GPU architectures.",UCSD,"San Diego, California","learning, hardware",1,Software,7,Computer Science
295,ECE 271C,Deep Learning Applications,"Foundations of deep learning. Deep learning architectures and learning algorithms. Feedforward, convolutional, and recurrent networks. Regularization. Applications to vision, speech, or text processing.",UCSD,"San Diego, California",learning,5,Deep Learning,4,Machine Learning
296,CSE 610,Deep Learning,"Deep Learning algorithms learn multi-level representations of data, with each level explaining the data in a hierarchical manner. Such algorithms have been effective at uncovering underlying structure in data, e.g., features to discriminate between classes. They have been successful in many artificial intelligence problems including image classification, speech recognition and natural language processing. The course, which will be taught through lectures and projects, will cover the underlying theory, the range of applications to which it has been applied, and learning from very large data sets. The course will cover connectionist architectures commonly associated with deep learning, e.g., basic neural networks, convolutional neural networks and recurrent neural networks. Methods to train and optimize the architectures and methods to perform effective inference with them, will be the main focus. Students will be encouraged to use open source software libraries such as Tensorflow.",University at Buffalo,"Buffalo, New York",learning,5,Deep Learning,4,Machine Learning
297,625.251,Introduction to Ordinary and Partial Differential Equations,"This course is a companion to 625.250. Topics include ordinary differential equations, Fourier series and integrals, the Laplace transformation, Bessel functions and Legendre polynomials, and an introduction to partial differential equations.",Johns Hopkins,"Baltimore, Maryland",introduction,2,Visualization,6,Visualization
298,625.714,Introductory Stochastic Differential Equations with Applications,"The goal of this course is to give basic knowledge of stochastic differential equations useful for scientific and engineering modeling, guided by some problems in applications. The course treats basic theory of stochastic differential equations, including weak and strong approximation, efficient numerical methods and error estimates, the relation between stochastic differential equations and partial differential equations, Monte Carlo simulations with applications in financial mathematics, population growth models, parameter estimation, and filtering and optimal control problems.",Johns Hopkins,"Baltimore, Maryland",,3,Other,2,Topics
299,625.717,Advanced Differential Equations: Partial Differential Equations,"This course presents practical methods for solving partial differential equations (PDEs). The course covers solutions of hyperbolic, parabolic, and elliptic equations in two or more independent variables. Topics include Fourier series, separation of variables, existence and uniqueness theory for general higher-order equations, eigenfunction expansions, finite difference and finite element numerical methods, Green’s functions, and transform methods. MATLAB, a high-level computing language, is used throughout the course to complement the analytical approach and to introduce numerical methods.",Johns Hopkins,"Baltimore, Maryland",,3,Other,2,Topics
300,625.718,Advanced Differential Equations: Nonlinear Differential Equations and Dynamical Systems,"This course examines ordinary differential equations from a geometric point of view and involves significant use of phase-plane diagrams and associated concepts, including equilibrium points, orbits, limit cycles, and domains of attraction. Various methods are discussed to determine existence and stability of equilibrium points and closed orbits. Methods are discussed for analyzing nonlinear differential equations (e.g., linearization, direct, perturbation, and bifurcation analysis). An introduction to chaos theory and Hamiltonian systems is also presented. The techniques learned will be applied to equations from physics, engineering, biology, ecology, and neural networks (as time permits).",Johns Hopkins,"Baltimore, Maryland",,3,Other,2,Topics
301,MATH 152,Partial Differential Equations II,"Introduction to the theory of nonlinear partial differential equations, including the method of characteristics, weak solutions, shocks and jump conditions, nonlinear wave equations, nonlinear diffusion and reaction diffusion equations, applications to fluid dynamics.",Tufts,"Medford, Massachusetts",,3,Other,2,Topics
302,CS 546,Parallel and Distributed Processing,"This course covers general issues of parallel and distributed processing from a user's point of view which includes system architectures, programming, performance evaluation, applications, and the influence of communication and parallelism on algorithm design.",Illinois Institute of Tech,"Chicago, Illinois ","parallel, processing",11,Parallel Computing,8,HPC
303,COMP 117,Internet-Scale Distributed Systems: Lessons from the World Wide Web,"The World Wide Web, one of the most important developments of our time, is a unique and in many ways innovative distributed system. This course will explore the design decisions that enabled the Web's success, and from those will derive important and sometimes surprising principles for the design of other modern distributed systems.We will introduce and draw comparisons with more traditional distributed system designs, including distributed objects, client/server, pub/sub, reliable queuing, etc. We will also study a few (easily understood) research papers and some of the core specifications of the Web. Specific topics to be covered include: global uniform naming; location-independence; layering and leaky abstractions; end-to-end arguments and decentralized innovation; Metcalfe's law and network effects; extensibility and evolution of distributed systems; declarative vs. procedural languages; Postel's law; caching; and HTML/XML/JSON document-based computing vs. RPC.The purpose of this course is not to teach Web site development, but rather to explore lessons in system design that can be applied to any complex software system.",Tufts,"Medford, Massachusetts","world, web",3,Other,2,Topics
304,CSE 586,Large Scale Distributed Systems,"This course addresses some of the fundamental challenges in the design, implementation and deployment of large scale distributed systems including connection establishment, event handling, interprocess communication, storage management, static and dynamic component configuration, concurrency and synchronization. It will also cover issues related to distributed objects such as mobility, security, naming, location, evolution, autonomy and negotiations. Possible solutions will be analyzed and expressed using objects, processes, services, components and frameworks at various levels of granularity. This course focuses on practical solutions using the latest server-side and middleware technology.",University at Buffalo,"Buffalo, New York",scale,3,Other,2,Topics
305,COMP 4333,Parallel and Distributed Computing,"Current techniques for effective use of parallel processing and large scale distributed systems. Programming assignments will give students experience in the use of these techniques. Specific topics will vary from year to year to incorporate recent developments. This course qualifies for the Computer Science ""Advanced Programming"" requirement.",University of Denver,"Denver, Colorado",parallel,11,Parallel Computing,8,HPC
306,COMPSCI 661,Secure Distributed Systems,"This is a class devoted to the study of securing distributed systems, with blockchain-based cryptocurrencies serving as our real platform of interest. We'll start with the fundamentals of Lamport's, Fischer's, and Douceur's results that fence-in all consensus system, and discuss Byzantine fault tolerance. We'll also look at the efficiency of the network architectures for peer-to-peer/distributed system communication and attacks on their security, such as denial of service attacks. And we'll review relevant applied cryptography such as elliptical curves. We ll discuss in detail the mechanisms of Bitcoin and Ethereum and we ll program distributed applications for Ethereum. Other topics include economics and finance. Assignments will include programming projects and reading research papers.",University of Massachusetts--Amherst,"Amherst, Massachusetts",secure,3,Other,2,Topics
307,COMPSCI 677,Distributed and Operating Systems,"This course provides an in-depth examination of the principles of distributed systems in general, and distributed operating systems in particular. Covered topics include processes and threads, concurrent programming, distributed interprocess communication, distributed process scheduling, virtualization, distributed file systems, security in distributed systems, distributed middleware and applications such as the web and peer-to-peer systems. Some coverage of operating system principles for multiprocessors will also be included. A brief overview of advanced topics such as multimedia operating systems and mobile computing will be provided, time permitting.",University of Massachusetts--Amherst,"Amherst, Massachusetts",,3,Other,2,Topics
308,CSCI 5105,Introduction to Distributed Systems,"Distributed system design and implementation. Distributed communication and synchronization, data replication and consistency, distributed file systems, fault tolerance, and distributed scheduling.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ",introduction,2,Visualization,6,Visualization
